,Correlation,Absolute_Correlation
Income_Deprivation_Score,0.7980560647584813,0.7980560647584813
Never_Worked_Rate,0.793005266313904,0.793005266313904
Owned_Rate,-0.740310861245207,0.740310861245207
Other_Inactive_Rate,0.7361858554751369,0.7361858554751369
IMD_Rank,-0.7276183729287986,0.7276183729287986
Any_Car_Van_Rate,-0.7240788954965165,0.7240788954965165
IMD_Decile,-0.7224104340918054,0.7224104340918054
Employment_Deprivation_Score,0.7200488018652484,0.7200488018652484
IMD_Score,0.7167753958201021,0.7167753958201021
No_Car_Van_Rate,0.7120817825714009,0.7120817825714009
Two_Cars_Vans_Rate,-0.7019473874134211,0.7019473874134211
Home_Family_Rate,0.6766086957789096,0.6766086957789096
Public_Transport_Rate,0.6320094596784709,0.6320094596784709
LongTerm_Sick_Disabled_Rate,0.6288745579438043,0.6288745579438043
Managerial_Rate,-0.6127450748699501,0.6127450748699501
Other_Transport_Rate,0.6027381328064936,0.6027381328064936
Social_Rented_Rate,0.5922093419829071,0.5922093419829071
Crime_Deprivation_Score,0.5918679634170976,0.5918679634170976
No_Qualification_Rate,0.5842882955802923,0.5842882955802923
ThreePlus_Cars_Vans_Rate,-0.5837047078755988,0.5837047078755988
Health_Deprivation_Score,0.5808682037239934,0.5808682037239934
Black_Rate,0.5691822146435438,0.5691822146435438
White_Rate,-0.5651156708687829,0.5651156708687829
Consumer_Services_Rate,0.5543949522083899,0.5543949522083899
Education_Deprivation_Score,0.5432680504649962,0.5432680504649962
Retired_Rate,-0.5399885531997041,0.5399885531997041
Low_Qualification_Rate,0.5319215728054923,0.5319215728054923
Elderly_Population_Rate,-0.514717614027987,0.514717614027987
Other_Ethnic_Group_Rate,0.5002047614344166,0.5002047614344166
Intermediate_Occupations_Rate,-0.5001378711037804,0.5001378711037804
Poor_Health_Rate,0.499291094218323,0.499291094218323
Student_Rate,0.4794420599489802,0.4794420599489802
Lives_Rent_Free_Rate,0.46486606916876894,0.46486606916876894
Full_Time_Students_Rate,0.45714215504712397,0.45714215504712397
Purpose_Built_Flat_Rate,0.4568188233420382,0.4568188233420382
Young_Population_Rate,0.4526920353064902,0.4526920353064902
Population_per_km2,0.4418569234647039,0.4418569234647039
Asian_Rate,0.43383670835800114,0.43383670835800114
House_Rate,-0.4236285086676099,0.4236285086676099
Active_Travel_Rate,0.42101368048545745,0.42101368048545745
Work_From_Home_Rate,-0.39998994460657694,0.39998994460657694
Mixed_Rate,0.39894388442429546,0.39894388442429546
Good_Health_Rate,-0.38136882714050696,0.38136882714050696
Lower_Occupations_Rate,0.37618289759612855,0.37618289759612855
Private_Rented_Rate,0.3567373388125622,0.3567373388125622
Primary_Industry_Rate,-0.34847730361961066,0.34847730361961066
Other_Qualification_Rate,0.3426384229767534,0.3426384229767534
Small_Employers_Rate,-0.32169093659156917,0.32169093659156917
Level4Plus_Qualification_Rate,-0.29339649512984856,0.29339649512984856
Level3_Qualification_Rate,-0.2920221363731543,0.2920221363731543
Working_Age_Rate,0.2894710036391108,0.2894710036391108
Migrant_Outside_UK_Rate,0.2854197427895957,0.2854197427895957
Level1_Qualification_Rate,0.275456501407568,0.275456501407568
Disability_Rate,0.2717024181301819,0.2717024181301819
Not_Disabled_Rate,-0.27170241554896685,0.27170241554896685
Living_Environment_Deprivation_Score,0.271394683345912,0.271394683345912
Converted_Building_Rate,0.259010562811832,0.259010562811832
Fair_Health_Rate,0.2587734075445222,0.2587734075445222
Apprenticeship_Rate,-0.24931085073575285,0.24931085073575285
Housing_Services_Deprivation_Score,0.18417265226995283,0.18417265226995283
Car_Commute_Rate,-0.18208364145111708,0.18208364145111708
Business_Knowledge_Services_Rate,-0.18188509163523162,0.18188509163523162
Production_Construction_Rate,-0.17117041036322106,0.17117041036322106
Other_Services_Rate,-0.14089647796950247,0.14089647796950247
Public_Services_Rate,-0.13401796611985078,0.13401796611985078
Other_Temporary_Accommodation_Rate,0.0934519667940843,0.0934519667940843
Level2_Qualification_Rate,-0.09076186308446767,0.09076186308446767
Migrant_Within_UK_Rate,0.06972914014680107,0.06972914014680107
Shared_Ownership_Rate,0.014005509534791872,0.014005509534791872
One_Car_Van_Rate,-0.012028109136084722,0.012028109136084722
