Variable,Original_Skewness,Original_Outlier_Count,Original_Outlier_Percentage,After_Winsorisation_Skewness,Transformation,Final_Skewness
Unemployment_Rate,1.5081439505987455,1222,3.8415592580949385,1.2372988886992924,None,1.2372988886992924
Student_Rate,6.328105148178743,2367,7.4410562716127,3.8360668922258205,Log1p,1.379153062698575
Retired_Rate,0.32799880011828836,144,0.45268783401446083,0.24255969844807687,None,0.24255969844807687
Home_Family_Rate,1.8567852672269503,1644,5.168186104998428,1.5726197034828373,Log1p,0.5073451385079167
LongTerm_Sick_Disabled_Rate,1.2670226362349428,944,2.96762024520591,1.103886179460164,Log1p,0.10391902535289455
Other_Inactive_Rate,5.786229452652535,1123,3.5303363722099967,1.2301891572967782,Log1p,0.3183269259350532
Young_Population_Rate,0.6175694798802267,764,2.4017604526878342,0.4269562654094392,None,0.4269562654094392
Working_Age_Rate,0.822889811100367,1455,4.574033322854448,0.7298014767360308,None,0.7298014767360308
Elderly_Population_Rate,0.5159863888042274,229,0.7198994027035523,0.39280822721046593,None,0.39280822721046593
No_Qualification_Rate,0.43789171223443013,186,0.5847217856020119,0.39208699010728626,None,0.39208699010728626
Level1_Qualification_Rate,-0.3616634033492175,490,1.5403961018547625,-0.38011309111138875,None,-0.38011309111138875
Level2_Qualification_Rate,-0.7437254554170665,1335,4.196793461175731,-0.805141818633335,None,-0.805141818633335
Apprenticeship_Rate,-0.03229721711531624,143,0.4495441685004715,-0.11772595343636824,None,-0.11772595343636824
Level3_Qualification_Rate,4.298328632068056,781,2.455202766425652,1.2665808874539444,Log1p,0.10279547756894845
Level4Plus_Qualification_Rate,0.8860870746563893,713,2.241433511474379,0.8372134953232688,None,0.8372134953232688
Other_Qualification_Rate,1.1315977707590938,820,2.5778057214712358,0.6454598579775113,None,0.6454598579775113
Low_Qualification_Rate,0.09475929234473474,39,0.12260295504558315,0.08500150389288925,None,0.08500150389288925
Good_Health_Rate,-0.46365746842046895,289,0.908519333542911,-0.36227570215353744,None,-0.36227570215353744
Fair_Health_Rate,0.21802827567736682,202,0.635020433825841,0.1548773768633616,None,0.1548773768633616
Poor_Health_Rate,0.9946789770669735,701,2.2037095253065075,0.8163300813174303,None,0.8163300813174303
Disability_Rate,0.53933740186399,305,0.9588179817667399,0.4620207918867704,None,0.4620207918867704
Not_Disabled_Rate,-0.539337392188461,305,0.9588179817667399,-0.46202079237246496,None,-0.46202079237246496
Migrant_Within_UK_Rate,3.595585831813618,2174,6.834328827412764,2.200834217715514,Log1p,0.8917636213202402
Migrant_Outside_UK_Rate,5.469893178864001,2549,8.013203395158754,2.8244361886724243,Log1p,1.3215267987158952
Asian_Rate,2.943177661437947,3211,10.09430996541968,2.733029272370641,Log1p,0.6055418248274654
Black_Rate,3.240323222295899,3671,11.540396101854762,2.7928597919428433,Log1p,0.9433317132703559
Mixed_Rate,1.2483552162054135,937,2.945614586607985,1.0984964731393856,Log1p,0.20671915557945195
White_Rate,-1.7050330937398464,2459,7.7302734988997175,-1.6574073462307062,None,-1.6574073462307062
Other_Ethnic_Group_Rate,2.8978723675320146,2789,8.767683118516189,2.2388970413017786,Log1p,0.8679486113296845
No_Car_Van_Rate,1.1062703857410392,828,2.60295504558315,1.051232972848078,Log1p,-0.08507362299480324
One_Car_Van_Rate,-0.5153430373352125,697,2.19113486325055,-0.4734992591681136,None,-0.4734992591681136
Two_Cars_Vans_Rate,-0.2587069224167131,0,0.0,-0.2687499743263403,None,-0.2687499743263403
ThreePlus_Cars_Vans_Rate,0.7544278363005801,455,1.4303678088651368,0.6774651252515411,None,0.6774651252515411
Any_Car_Van_Rate,-1.1062703905934144,828,2.60295504558315,-1.051232977306116,None,-1.051232977306116
Work_From_Home_Rate,0.6120066233204716,299,0.9399559886828042,0.581541276364379,None,0.581541276364379
Public_Transport_Rate,2.053748170101815,2679,8.421879911977365,1.921578328807569,Log1p,0.3710788328725014
Car_Commute_Rate,-1.053907231619142,1691,5.315938384155926,-1.0542934845557739,None,-1.0542934845557739
Active_Travel_Rate,1.398525272776476,1155,3.630933668657655,1.2167333369058242,Log1p,0.12467713463039058
Other_Transport_Rate,2.0205895121768593,1401,4.404275385099026,1.3955861867422221,Log1p,0.3864338375461724
Owned_Rate,-0.5136166590142948,0,0.0,-0.498042084822994,None,-0.498042084822994
Shared_Ownership_Rate,4.891338977397164,2975,9.3524049041182,2.5898234183949502,Log1p,1.2672258855608105
Social_Rented_Rate,1.2764658611149182,987,3.1027978623074506,1.2092189807879021,Log1p,-0.217790748323186
Private_Rented_Rate,1.5039366439160669,1552,4.8789688777114115,1.3644476521669129,Log1p,0.2553566333298021
Lives_Rent_Free_Rate,4.842525439843319,3315,10.421251178874567,2.3155721312241186,Log1p,1.8536686329457641
House_Rate,-1.6642295032792334,2565,8.063502043382584,-1.6517555612820118,None,-1.6517555612820118
Purpose_Built_Flat_Rate,1.9898272634811063,2073,6.516818610499843,1.9149825602401873,Log1p,-0.11444836171338896
Converted_Building_Rate,3.7024381937799964,3976,12.499214083621503,3.245169644187221,Log1p,1.079512479060891
Other_Temporary_Accommodation_Rate,6.268311853012734,3369,10.59100911662999,3.1398722326830972,Log1p,1.388714906637066
Managerial_Rate,0.20735998901806835,42,0.1320339515875511,0.17375951792370128,None,0.17375951792370128
Intermediate_Occupations_Rate,-0.0545193854070899,258,0.8110657026092424,-0.15086070261626447,None,-0.15086070261626447
Small_Employers_Rate,1.0401005494285906,1104,3.4706067274441996,0.8589206963492565,None,0.8589206963492565
Lower_Occupations_Rate,0.10456273152582989,13,0.04086765168186105,0.09114835088811717,None,0.09114835088811717
Never_Worked_Rate,1.5394994629367649,1251,3.9327255580006284,1.3241836242716511,Log1p,0.33334531928227273
Full_Time_Students_Rate,6.280941443676538,2569,8.076076705438542,4.039719950211357,Log1p,1.5237694279699725
Primary_Industry_Rate,4.506986676224612,3589,11.28261552970764,3.3234475559204495,Log1p,1.6594277504784072
Production_Construction_Rate,-0.029248889549210705,206,0.6475950958817982,-0.1785140013838115,None,-0.1785140013838115
Consumer_Services_Rate,0.553979242435872,441,1.3863564916692863,0.4734664212015372,None,0.4734664212015372
Business_Knowledge_Services_Rate,1.328987094483462,1154,3.6277900031436654,1.1969063133861064,Log1p,0.3852252195279379
Public_Services_Rate,0.739462163818316,686,2.156554542596668,0.365950059459781,None,0.365950059459781
Other_Services_Rate,0.9680109370038875,880,2.7664256523105943,0.661467946259853,None,0.661467946259853
Population_per_km2,2.127540415789284,1682,5.2876453945300215,1.6239175740537746,Log1p,-1.2099138870527992
IMD_Score,1.153887920164129,959,3.01477522791575,1.0866696238915587,Log1p,-0.2053281137750417
IMD_Rank,-0.0006536504658736835,0,0.0,-0.0006135224302963105,None,-0.0006135224302963105
