Variable,Coefficient,Absolute_Coefficient
Income_Deprivation_Score,1.2667018455072525,1.2667018455072525
Never_Worked_Rate,0.8500142963680118,0.8500142963680118
Black_Rate,0.30024022595774835,0.30024022595774835
Student_Rate,0.2911878153925374,0.2911878153925374
Social_Rented_Rate,-0.18354445207083397,0.18354445207083397
No_Car_Van_Rate,0.18000767111087107,0.18000767111087107
Disability_Rate,-0.17903496807237151,0.17903496807237151
Migrant_Within_UK_Rate,0.1643849799995699,0.1643849799995699
Housing_Services_Deprivation_Score,0.1321684342956919,0.1321684342956919
Migrant_Outside_UK_Rate,0.1060056031970697,0.1060056031970697
Working_Age_Rate,-0.08835377914692284,0.08835377914692284
Population_per_km2,0.07663880167314732,0.07663880167314732
Level4Plus_Qualification_Rate,-0.05881176401868493,0.05881176401868493
Crime_Deprivation_Score,-0.039519153126618634,0.039519153126618634
Living_Environment_Deprivation_Score,0.0302075470740987,0.0302075470740987
Asian_Rate,-0.023179496758102658,0.023179496758102658
