Variable,Importance
Never_Worked_Rate,0.2506618592718683
Income_Deprivation_Score,0.1827879962275641
No_Car_Van_Rate,0.16046362498203293
Social_Rented_Rate,0.07463985285809685
Black_Rate,0.06388532791009709
Student_Rate,0.04688112455536744
Crime_Deprivation_Score,0.045464486415110826
Level4Plus_Qualification_Rate,0.028395304703944326
Asian_Rate,0.02665131356886862
Population_per_km2,0.024383502836992005
Disability_Rate,0.01788525431555136
Housing_Services_Deprivation_Score,0.016967227539182995
Working_Age_Rate,0.016635195656403895
Migrant_Within_UK_Rate,0.015594497846638532
Migrant_Outside_UK_Rate,0.014423172918553011
Living_Environment_Deprivation_Score,0.01428025839372781
