Variable,Importance
Never_Worked_Rate,0.540564
No_Car_Van_Rate,0.17855857
Income_Deprivation_Score,0.06983873
Black_Rate,0.05064182
Student_Rate,0.025086991
Social_Rented_Rate,0.017587077
Level4Plus_Qualification_Rate,0.014870737
Migrant_Within_UK_Rate,0.0148330415
Housing_Services_Deprivation_Score,0.014487025
Working_Age_Rate,0.012589009
Asian_Rate,0.011382401
Migrant_Outside_UK_Rate,0.010719179
Disability_Rate,0.010422671
Crime_Deprivation_Score,0.009808787
Population_per_km2,0.009447794
Living_Environment_Deprivation_Score,0.009162155
