,Missing_Values,Missing_Percentage
LSOA_Code,0,0.0
LSOA_Name,0,0.0
Unemployment_Rate,0,0.0
Student_Rate,0,0.0
Retired_Rate,0,0.0
Home_Family_Rate,0,0.0
LongTerm_Sick_Disabled_Rate,0,0.0
Other_Inactive_Rate,0,0.0
Young_Population_Rate,0,0.0
Working_Age_Rate,0,0.0
Elderly_Population_Rate,0,0.0
No_Qualification_Rate,0,0.0
Level1_Qualification_Rate,0,0.0
Level2_Qualification_Rate,0,0.0
Apprenticeship_Rate,0,0.0
Level3_Qualification_Rate,0,0.0
Level4Plus_Qualification_Rate,0,0.0
Other_Qualification_Rate,0,0.0
Low_Qualification_Rate,0,0.0
Good_Health_Rate,0,0.0
Fair_Health_Rate,0,0.0
Poor_Health_Rate,0,0.0
Disability_Rate,0,0.0
Not_Disabled_Rate,0,0.0
Migrant_Within_UK_Rate,0,0.0
Migrant_Outside_UK_Rate,0,0.0
Asian_Rate,0,0.0
Black_Rate,0,0.0
Mixed_Rate,0,0.0
White_Rate,0,0.0
Other_Ethnic_Group_Rate,0,0.0
No_Car_Van_Rate,0,0.0
One_Car_Van_Rate,0,0.0
Two_Cars_Vans_Rate,0,0.0
ThreePlus_Cars_Vans_Rate,0,0.0
Any_Car_Van_Rate,0,0.0
Work_From_Home_Rate,0,0.0
Public_Transport_Rate,0,0.0
Car_Commute_Rate,0,0.0
Active_Travel_Rate,0,0.0
Other_Transport_Rate,0,0.0
Owned_Rate,0,0.0
Shared_Ownership_Rate,0,0.0
Social_Rented_Rate,0,0.0
Private_Rented_Rate,0,0.0
Lives_Rent_Free_Rate,0,0.0
House_Rate,0,0.0
Purpose_Built_Flat_Rate,0,0.0
Converted_Building_Rate,0,0.0
Other_Temporary_Accommodation_Rate,0,0.0
Managerial_Rate,0,0.0
Intermediate_Occupations_Rate,0,0.0
Small_Employers_Rate,0,0.0
Lower_Occupations_Rate,0,0.0
Never_Worked_Rate,0,0.0
Full_Time_Students_Rate,0,0.0
Primary_Industry_Rate,0,0.0
Production_Construction_Rate,0,0.0
Consumer_Services_Rate,0,0.0
Business_Knowledge_Services_Rate,0,0.0
Public_Services_Rate,0,0.0
Other_Services_Rate,0,0.0
Population_per_km2,0,0.0
RUC21NM,0,0.0
Urban_Rural_Flag,0,0.0
IMD_Score,0,0.0
IMD_Rank,0,0.0
IMD_Decile,0,0.0
Income_Deprivation_Score,0,0.0
Employment_Deprivation_Score,0,0.0
Education_Deprivation_Score,0,0.0
Health_Deprivation_Score,0,0.0
Crime_Deprivation_Score,0,0.0
Housing_Services_Deprivation_Score,0,0.0
Living_Environment_Deprivation_Score,0,0.0
