,Count,Mean,Median,Standard_Deviation,Variance,Minimum,Q1,Q3,Maximum,IQR,Skewness,Outlier_Count,Outlier_Percentage
Unemployment_Rate,31810.0,4.964557620245206,4.2529,2.7223103572751026,7.410973681327296,0.0,3.0534,6.22165,27.1536,3.1682500000000005,1.5081439505987455,1222,3.8415592580949385
Student_Rate,31810.0,5.111269060044012,3.9201,4.895299802558123,23.96396015692559,0.189,3.062,5.4700750000000005,79.5662,2.4080750000000006,6.328105148178743,2367,7.4410562716127
Retired_Rate,31810.0,22.300746730587868,21.95445,9.425191398079363,88.83423289042923,0.037,15.0121,28.866,70.0061,13.8539,0.32799880011828836,144,0.45268783401446083
Home_Family_Rate,31810.0,4.816701883055643,4.1522,2.5085327784866225,6.292736700741814,0.1215,3.16155,5.753075,22.2578,2.591525,1.8567852672269503,1644,5.168186104998428
LongTerm_Sick_Disabled_Rate,31810.0,4.187366585979252,3.4483,2.7715252381148705,7.68135214550769,0.0,2.1359,5.617825,22.0227,3.481925,1.2670226362349428,944,2.96762024520591
Other_Inactive_Rate,31810.0,3.1007802955045585,2.6589,1.9879902105414544,3.952105077208656,0.0661,1.9142,3.8352,55.0887,1.921,5.786229452652535,1123,3.5303363722099967
Young_Population_Rate,31810.0,22.664246149009745,22.208350000000003,5.351087244277456,28.63413469586889,1.8081,19.205174999999997,25.6681,62.7195,6.462925000000002,0.6175694798802267,764,2.4017604526878342
Working_Age_Rate,31810.0,57.969882681546686,57.348600000000005,6.576094260386916,43.245015721493736,26.0323,53.9722,61.082249999999995,97.3641,7.110049999999994,0.822889811100367,1455,4.574033322854448
Elderly_Population_Rate,31810.0,19.36587139264382,18.706899999999997,8.335919436832063,69.48755285735459,0.0736,12.969875,24.95415,65.5409,11.984274999999998,0.5159863888042274,229,0.7198994027035523
No_Qualification_Rate,31810.0,18.52433253065074,17.7948,7.10521963943993,50.48414612468289,0.8451,13.278424999999999,23.186625,51.6477,9.9082,0.43789171223443013,186,0.5847217856020119
Level1_Qualification_Rate,31810.0,9.88307042753851,10.08555,2.7711986024417308,7.679541694175002,0.2352,8.1981,11.7802,22.5839,3.5821000000000005,-0.3616634033492175,490,1.5403961018547625
Level2_Qualification_Rate,31810.0,13.516610748192392,13.92605,2.885925967944009,8.328568692453565,0.8694,12.1339,15.413450000000001,31.5638,3.2795500000000004,-0.7437254554170665,1335,4.196793461175731
Apprenticeship_Rate,31810.0,5.462473885570575,5.5634,1.9192346058907406,3.683461472448586,0.1023,4.2056,6.74985,20.7224,2.544250000000001,-0.03229721711531624,143,0.4495441685004715
Level3_Qualification_Rate,31810.0,16.578513030493554,16.359250000000003,4.396175070334769,19.32635524903291,5.4512,14.3523,18.2646,76.0,3.912300000000002,4.298328632068056,781,2.455202766425652
Level4Plus_Qualification_Rate,31810.0,33.27117410562717,31.0994,12.571419143992356,158.04057929393753,9.0465,23.717625,40.394724999999994,87.2173,16.677099999999992,0.8860870746563893,713,2.241433511474379
Other_Qualification_Rate,31810.0,2.763826331342345,2.6718,0.9228696112211293,0.8516883193154384,0.0937,2.161825,3.242675,12.8764,1.0808500000000003,1.1315977707590938,820,2.5778057214712358
Low_Qualification_Rate,31810.0,28.407402973907576,28.002850000000002,9.239858392572478,85.37498311479206,1.0842,21.871225,34.8684,64.8292,12.997175000000002,0.09475929234473474,39,0.12260295504558315
Good_Health_Rate,31810.0,81.77256022634391,82.21244999999999,5.053958674727103,25.54249828584934,51.5,78.5302,85.39935,96.4468,6.869150000000005,-0.46365746842046895,289,0.908519333542911
Fair_Health_Rate,31810.0,12.936872420622446,12.807300000000001,3.0645179245737024,9.391270110033512,3.0131,10.7984,14.981175,29.1429,4.1827749999999995,0.21802827567736682,202,0.635020433825841
Poor_Health_Rate,31810.0,5.290567519647909,4.8886,2.2876188455735327,5.233199982623183,0.4172,3.629925,6.5517,22.7149,2.9217750000000002,0.9946789770669735,701,2.2037095253065075
Disability_Rate,31810.0,17.681684574033323,17.174599999999998,4.773738737854999,22.788581537297443,4.6009,14.174525,20.712475,44.6787,6.537950000000002,0.53933740186399,305,0.9588179817667399
Not_Disabled_Rate,31810.0,82.31831548569633,82.8254,4.773738754842931,22.78858169948934,55.3213,79.287525,85.82547500000001,95.3991,6.537950000000009,-0.539337392188461,305,0.9588179817667399
Migrant_Within_UK_Rate,31810.0,8.966912005658596,7.85965,4.530092651100267,20.521739427552642,1.7191,6.460999999999999,9.93865,65.0579,3.4776500000000015,3.595585831813618,2174,6.834328827412764
Migrant_Outside_UK_Rate,31810.0,0.8311557088965734,0.4895,1.1797896982731835,1.3919037321515293,0.0,0.244025,0.9693750000000001,24.2424,0.7253500000000002,5.469893178864001,2549,8.013203395158754
Asian_Rate,31810.0,8.722217595095882,3.2878999999999996,13.723497875415458,188.3343939365326,0.0,1.1928,9.7901,96.2709,8.5973,2.943177661437947,3211,10.09430996541968
Black_Rate,31810.0,3.817117359320968,1.1186500000000001,6.679388227676767,44.61422709602698,0.0,0.3444,4.0580750000000005,60.7817,3.7136750000000007,3.240323222295899,3671,11.540396101854762
Mixed_Rate,31810.0,2.8310159886828044,2.23935,2.0369565492645383,4.149191983591695,0.0,1.300525,3.873975,18.5315,2.5734500000000002,1.2483552162054135,937,2.945614586607985
White_Rate,31810.0,82.6070273750393,91.8321,20.226336353374382,409.1046822798341,0.8043,75.97194999999999,96.4848,100.0,20.512850000000014,-1.7050330937398464,2459,7.7302734988997175
Other_Ethnic_Group_Rate,31810.0,2.022622951901918,0.8772,2.848800114317649,8.11566209133625,0.0,0.3232,2.541225,35.1993,2.218025,2.8978723675320146,2789,8.767683118516189
No_Car_Van_Rate,31810.0,22.851361386356494,18.8256,15.385840391913206,236.72408456542792,0.8475,10.738525000000001,31.25,86.8331,20.511474999999997,1.1062703857410392,828,2.60295504558315
One_Car_Van_Rate,31810.0,41.31031245205911,41.939800000000005,6.095285500131978,37.15250532811913,10.8967,37.8884,45.360025,65.7505,7.471625000000003,-0.5153430373352125,697,2.19113486325055
Two_Cars_Vans_Rate,31810.0,26.422832225715187,27.39135,10.752244678359329,115.61076562330649,0.5556,18.4916,35.022225,54.9898,16.530625,-0.2587069224167131,0,0.0
ThreePlus_Cars_Vans_Rate,31810.0,9.415494394844389,8.60475,5.935552104931486,35.230778790356595,0.0,4.8364,12.921975,40.3766,8.085574999999999,0.7544278363005801,455,1.4303678088651368
Any_Car_Van_Rate,31810.0,77.14863885884941,81.1744,15.3858404165412,236.7240853232727,13.1669,68.75,89.261475,99.1525,20.511475000000004,-1.1062703905934144,828,2.60295504558315
Work_From_Home_Rate,31810.0,30.37355878654511,28.6511,12.854575089686163,165.24010073638004,3.1022,20.56995,38.5785,76.731,18.00855,0.6120066233204716,299,0.9399559886828042
Public_Transport_Rate,31810.0,7.843598660798491,4.6347000000000005,8.556337384007763,73.2109094289688,0.0,2.2727,9.890699999999999,57.3714,7.6179999999999986,2.053748170101815,2679,8.421879911977365
Car_Commute_Rate,31810.0,49.70019024520592,53.657,15.652038781698122,244.98631802378205,1.2931,42.494175,60.894275,81.9444,18.400100000000002,-1.053907231619142,1691,5.315938384155926
Active_Travel_Rate,31810.0,9.775288635649165,8.308399999999999,5.845836480849667,34.173804160832816,0.1818,5.477075,12.557925,50.9574,7.080849999999999,1.398525272776476,1155,3.630933668657655
Other_Transport_Rate,31810.0,2.3073648255265637,2.01805,1.3264855329703393,1.7595638691796052,0.0,1.4225750000000001,2.8391,17.0787,1.416525,2.0205895121768593,1401,4.404275385099026
Owned_Rate,31810.0,62.643577000943104,66.01315,20.358793642273888,414.4804785686917,2.027,47.856425,79.5254,97.9439,31.668975000000003,-0.5136166590142948,0,0.0
Shared_Ownership_Rate,31810.0,0.831636777742848,0.411,1.2868526485710718,1.6559897391343823,0.0,0.159,0.9674,32.6389,0.8084,4.891338977397164,2975,9.3524049041182
Social_Rented_Rate,31810.0,16.84669090537567,11.1111,16.15952984037219,261.13040466187925,0.0,4.3527249999999995,25.02695,92.0233,20.674225,1.2764658611149182,987,3.1027978623074506
Private_Rented_Rate,31810.0,19.546553816409936,15.63495,12.319356885730256,151.7665540779895,1.7268,10.901475,24.78165,93.0476,13.880175,1.5039366439160669,1552,4.8789688777114115
Lives_Rent_Free_Rate,31810.0,0.1315422665828356,0.0,0.25765443707800373,0.06638580894598299,0.0,0.0,0.1637,7.8278,0.1637,4.842525439843319,3315,10.421251178874567
House_Rate,31810.0,79.44068370638165,87.97635,22.678225756085386,514.3019234439745,0.0,72.557275,95.422175,100.0,22.86489999999999,-1.6642295032792334,2565,8.063502043382584
Purpose_Built_Flat_Rate,31810.0,15.290460609871111,8.623850000000001,18.28599340478349,334.37755479978534,0.0,2.5862,20.8823,99.5012,18.296100000000003,1.9898272634811063,2073,6.516818610499843
Converted_Building_Rate,31810.0,4.093731917635964,1.3025,7.834932219452891,61.386162883420994,0.0,0.4655,3.635775,71.5472,3.170275,3.7024381937799964,3976,12.499214083621503
Other_Temporary_Accommodation_Rate,31810.0,1.1751244860106884,0.4887,2.2127780601615163,4.896386743532163,0.0,0.164775,1.2069,52.5064,1.042125,6.268311853012734,3369,10.59100911662999
Managerial_Rate,31810.0,32.92621468091795,32.5747,12.039406742530797,144.94731471209604,3.0936,23.70895,41.4731,78.9649,17.76415,0.20735998901806835,42,0.1320339515875511
Intermediate_Occupations_Rate,31810.0,11.583878025778056,11.687899999999999,2.7241696888088818,7.421100493425079,0.583,9.814824999999999,13.460374999999999,43.6025,3.64555,-0.0545193854070899,258,0.8110657026092424
Small_Employers_Rate,31810.0,10.653870358377867,10.1889,3.3517457235803234,11.234199395538985,0.3784,8.42895,12.30275,31.883,3.8737999999999992,1.0401005494285906,1104,3.4706067274441996
Lower_Occupations_Rate,31810.0,29.2497919050613,28.9167,10.465502949088805,109.52675197738648,1.1865,21.366975,36.88015,66.0026,15.513175,0.10456273152582989,13,0.04086765168186105
Never_Worked_Rate,31810.0,8.616337469349261,7.286,4.763867311037218,22.69443175716897,0.5172,5.22975,10.731175,38.9924,5.501425,1.5394994629367649,1251,3.9327255580006284
Full_Time_Students_Rate,31810.0,6.969907701980509,5.41445,6.460567917618793,41.73893781816522,1.0705,4.356875,7.2742,90.3246,2.917325000000001,6.280941443676538,2569,8.076076705438542
Primary_Industry_Rate,31810.0,0.9590475196479096,0.3697,1.8237313544778597,3.325996053305649,0.0,0.1364,0.9174,24.0113,0.781,4.506986676224612,3589,11.28261552970764
