,Data_Type,Missing_Values,Missing_Percentage,Unique_Values
LSOA_Code,object,0,0.0,31810
LSOA_Name,object,0,0.0,31810
Unemployment_Rate,float64,0,0.0,17914
Student_Rate,float64,0,0.0,21063
Retired_Rate,float64,0,0.0,28728
Home_Family_Rate,float64,0,0.0,21459
LongTerm_Sick_Disabled_Rate,float64,0,0.0,22859
Other_Inactive_Rate,float64,0,0.0,19298
Young_Population_Rate,float64,0,0.0,27472
Working_Age_Rate,float64,0,0.0,27917
Elderly_Population_Rate,float64,0,0.0,28936
No_Qualification_Rate,float64,0,0.0,27912
Level1_Qualification_Rate,float64,0,0.0,23789
Level2_Qualification_Rate,float64,0,0.0,23500
Apprenticeship_Rate,float64,0,0.0,21767
Level3_Qualification_Rate,float64,0,0.0,24400
Level4Plus_Qualification_Rate,float64,0,0.0,29194
Other_Qualification_Rate,float64,0,0.0,16060
Low_Qualification_Rate,float64,0,0.0,28774
Good_Health_Rate,float64,0,0.0,27605
Fair_Health_Rate,float64,0,0.0,25683
Poor_Health_Rate,float64,0,0.0,23584
Disability_Rate,float64,0,0.0,27330
Not_Disabled_Rate,float64,0,0.0,27331
Migrant_Within_UK_Rate,float64,0,0.0,24589
Migrant_Outside_UK_Rate,float64,0,0.0,13025
Asian_Rate,float64,0,0.0,25658
Black_Rate,float64,0,0.0,20390
Mixed_Rate,float64,0,0.0,21963
White_Rate,float64,0,0.0,28485
Other_Ethnic_Group_Rate,float64,0,0.0,18525
No_Car_Van_Rate,float64,0,0.0,25570
One_Car_Van_Rate,float64,0,0.0,21960
Two_Cars_Vans_Rate,float64,0,0.0,25170
ThreePlus_Cars_Vans_Rate,float64,0,0.0,21581
Any_Car_Van_Rate,float64,0,0.0,25570
Work_From_Home_Rate,float64,0,0.0,27012
Public_Transport_Rate,float64,0,0.0,21753
Car_Commute_Rate,float64,0,0.0,26942
Active_Travel_Rate,float64,0,0.0,22488
Other_Transport_Rate,float64,0,0.0,12630
Owned_Rate,float64,0,0.0,27560
Shared_Ownership_Rate,float64,0,0.0,7769
Social_Rented_Rate,float64,0,0.0,24775
Private_Rented_Rate,float64,0,0.0,24031
Lives_Rent_Free_Rate,float64,0,0.0,2848
House_Rate,float64,0,0.0,25120
Purpose_Built_Flat_Rate,float64,0,0.0,23185
Converted_Building_Rate,float64,0,0.0,14322
Other_Temporary_Accommodation_Rate,float64,0,0.0,9031
Managerial_Rate,float64,0,0.0,29267
Intermediate_Occupations_Rate,float64,0,0.0,23867
Small_Employers_Rate,float64,0,0.0,24168
Lower_Occupations_Rate,float64,0,0.0,29056
Never_Worked_Rate,float64,0,0.0,25286
Full_Time_Students_Rate,float64,0,0.0,22350
Primary_Industry_Rate,float64,0,0.0,9047
Production_Construction_Rate,float64,0,0.0,23058
Consumer_Services_Rate,float64,0,0.0,24206
Business_Knowledge_Services_Rate,float64,0,0.0,24214
Public_Services_Rate,float64,0,0.0,23307
Other_Services_Rate,float64,0,0.0,14738
Population_per_km2,float64,0,0.0,26044
RUC21CD,object,0,0.0,6
RUC21NM,object,0,0.0,6
Urban_Rural_Flag,object,0,0.0,2
IMD_Score,float64,0,0.0,22741
IMD_Rank,int64,0,0.0,31787
IMD_Decile,int64,0,0.0,10
Income_Deprivation_Score,float64,0,0.0,521
Employment_Deprivation_Score,float64,0,0.0,416
Education_Deprivation_Score,float64,0,0.0,23333
Health_Deprivation_Score,float64,0,0.0,4256
Crime_Deprivation_Score,float64,0,0.0,4072
Housing_Services_Deprivation_Score,float64,0,0.0,21593
Living_Environment_Deprivation_Score,float64,0,0.0,23232
