Variable,VIF
No_Car_Van_Rate,7.261290945450803
Income_Deprivation_Score,7.114772815783813
Never_Worked_Rate,5.988064249731129
Disability_Rate,3.9365476890446756
Asian_Rate,3.5814460551938976
Black_Rate,3.4490219394131234
Population_per_km2,3.270235077075426
Social_Rented_Rate,3.040471278797668
Migrant_Outside_UK_Rate,2.6481763398663993
Level4Plus_Qualification_Rate,2.5503038780750003
Working_Age_Rate,2.3742861457881057
Crime_Deprivation_Score,2.2108390003768332
Migrant_Within_UK_Rate,2.1596758301058894
Student_Rate,2.070781380361767
Housing_Services_Deprivation_Score,1.7737193233449253
Living_Environment_Deprivation_Score,1.508044739642396
