LSOA_Code,RUC21CD,RUC21NM,Urban_rural_flag
E01000001,UN1,Urban: Nearer to a major town or city,Urban
E01000002,UN1,Urban: Nearer to a major town or city,Urban
E01000003,UN1,Urban: Nearer to a major town or city,Urban
E01000005,UN1,Urban: Nearer to a major town or city,Urban
E01000006,UN1,Urban: Nearer to a major town or city,Urban
E01000007,UN1,Urban: Nearer to a major town or city,Urban
E01000008,UN1,Urban: Nearer to a major town or city,Urban
E01000009,UN1,Urban: Nearer to a major town or city,Urban
E01000011,UN1,Urban: Nearer to a major town or city,Urban
E01000012,UN1,Urban: Nearer to a major town or city,Urban
E01000013,UN1,Urban: Nearer to a major town or city,Urban
E01000014,UN1,Urban: Nearer to a major town or city,Urban
E01000015,UN1,Urban: Nearer to a major town or city,Urban
E01000016,UN1,Urban: Nearer to a major town or city,Urban
E01000017,UN1,Urban: Nearer to a major town or city,Urban
E01000018,UN1,Urban: Nearer to a major town or city,Urban
E01000019,UN1,Urban: Nearer to a major town or city,Urban
E01000020,UN1,Urban: Nearer to a major town or city,Urban
E01000021,UN1,Urban: Nearer to a major town or city,Urban
E01000022,UN1,Urban: Nearer to a major town or city,Urban
E01000024,UN1,Urban: Nearer to a major town or city,Urban
E01000025,UN1,Urban: Nearer to a major town or city,Urban
E01000027,UN1,Urban: Nearer to a major town or city,Urban
E01000028,UN1,Urban: Nearer to a major town or city,Urban
E01000029,UN1,Urban: Nearer to a major town or city,Urban
E01000030,UN1,Urban: Nearer to a major town or city,Urban
E01000031,UN1,Urban: Nearer to a major town or city,Urban
E01000032,UN1,Urban: Nearer to a major town or city,Urban
E01000033,UN1,Urban: Nearer to a major town or city,Urban
E01000034,UN1,Urban: Nearer to a major town or city,Urban
E01000035,UN1,Urban: Nearer to a major town or city,Urban
E01000036,UN1,Urban: Nearer to a major town or city,Urban
E01000037,UN1,Urban: Nearer to a major town or city,Urban
E01000038,UN1,Urban: Nearer to a major town or city,Urban
E01000039,UN1,Urban: Nearer to a major town or city,Urban
E01000040,UN1,Urban: Nearer to a major town or city,Urban
E01000041,UN1,Urban: Nearer to a major town or city,Urban
E01000042,UN1,Urban: Nearer to a major town or city,Urban
E01000043,UN1,Urban: Nearer to a major town or city,Urban
E01000044,UN1,Urban: Nearer to a major town or city,Urban
E01000045,UN1,Urban: Nearer to a major town or city,Urban
E01000046,UN1,Urban: Nearer to a major town or city,Urban
E01000049,UN1,Urban: Nearer to a major town or city,Urban
E01000050,UN1,Urban: Nearer to a major town or city,Urban
E01000051,UN1,Urban: Nearer to a major town or city,Urban
E01000052,UN1,Urban: Nearer to a major town or city,Urban
E01000053,UN1,Urban: Nearer to a major town or city,Urban
E01000054,UN1,Urban: Nearer to a major town or city,Urban
E01000055,UN1,Urban: Nearer to a major town or city,Urban
E01000056,UN1,Urban: Nearer to a major town or city,Urban
E01000108,UN1,Urban: Nearer to a major town or city,Urban
E01000110,UN1,Urban: Nearer to a major town or city,Urban
E01000111,UN1,Urban: Nearer to a major town or city,Urban
E01000112,UN1,Urban: Nearer to a major town or city,Urban
E01000113,UN1,Urban: Nearer to a major town or city,Urban
E01000114,UN1,Urban: Nearer to a major town or city,Urban
E01000115,UN1,Urban: Nearer to a major town or city,Urban
E01000116,UN1,Urban: Nearer to a major town or city,Urban
E01000117,UN1,Urban: Nearer to a major town or city,Urban
E01000118,UN1,Urban: Nearer to a major town or city,Urban
E01000119,UN1,Urban: Nearer to a major town or city,Urban
E01000120,UN1,Urban: Nearer to a major town or city,Urban
E01000121,UN1,Urban: Nearer to a major town or city,Urban
E01000122,UN1,Urban: Nearer to a major town or city,Urban
E01000123,UN1,Urban: Nearer to a major town or city,Urban
E01000124,UN1,Urban: Nearer to a major town or city,Urban
E01000126,UN1,Urban: Nearer to a major town or city,Urban
E01000127,UN1,Urban: Nearer to a major town or city,Urban
E01000128,UN1,Urban: Nearer to a major town or city,Urban
E01000129,UN1,Urban: Nearer to a major town or city,Urban
